Temat,Lokalizacja,Data rozpoczêcia,Czas rozpoczêcia,Data zakoñczenia,Czas zakoñczenia,Przypomnienie w³./wy³.,Data przypomnienia,Czas przypomnienia
Systemy wejœcia-wyjœcia komputerów (L) [7],09 65,2019-06-06,13:30,2019-06-06,15:05,Fa³sz,2019-06-06,13:30
Systemy wejœcia-wyjœcia komputerów (L) [8],09 65,2019-06-06,15:45,2019-06-06,17:20,Fa³sz,2019-06-06,15:45
Systemy wbudowane (L) [9],09 65,2019-06-06,17:35,2019-06-06,19:10,Fa³sz,2019-06-06,17:35
Systemy wbudowane (L) [10],09 65,2019-06-06,19:25,2019-06-06,21:00,Fa³sz,2019-06-06,19:25
Jêzyk obcy (II) miêdzywydzia³owy (æ) [14],231 K,2019-06-06,,2019-06-06,,Fa³sz,2019-06-06,
In¿ynieria oprogramowania (L) [12],239 S,2019-06-07,08:00,2019-06-07,09:35,Fa³sz,2019-06-07,08:00
In¿ynieria oprogramowania (L) [13],239 S,2019-06-07,09:50,2019-06-07,11:25,Fa³sz,2019-06-07,09:50
Biznesowe, zawodowe i spo³eczne problemy informatyki (w) [10],aula/ 135,2019-06-10,09:50,2019-06-10,11:25,Fa³sz,2019-06-10,09:50
Jêzyk angielski (æ) [14],125 K  120 K  121 K  124 K  126 K  133 K  134 K,2019-06-10,13:30,2019-06-10,15:05,Fa³sz,2019-06-10,13:30
Jêzyki i techniki programowania (L) [9],239 S,2019-06-10,17:35,2019-06-10,19:10,Fa³sz,2019-06-10,17:35
Jêzyki i techniki programowania (L) [10],239 S,2019-06-10,19:25,2019-06-10,21:00,Fa³sz,2019-06-10,19:25
Modelowanie matematyczne (Zal) [1],314 S,2019-06-12,11:40,2019-06-12,13:15,Fa³sz,2019-06-12,11:40
Systemy wbudowane (L) [11],09 65,2019-06-13,17:35,2019-06-13,19:10,Fa³sz,2019-06-13,17:35
Systemy wbudowane (L) [12],09 65,2019-06-13,19:25,2019-06-13,21:00,Fa³sz,2019-06-13,19:25
Jêzyk obcy (II) miêdzywydzia³owy (æ) [15],231 K,2019-06-13,,2019-06-13,,Fa³sz,2019-06-13,
In¿ynieria oprogramowania (L) [14],239 S,2019-06-14,08:00,2019-06-14,09:35,Fa³sz,2019-06-14,08:00
In¿ynieria oprogramowania (L) [15],239 S,2019-06-14,09:50,2019-06-14,11:25,Fa³sz,2019-06-14,09:50
Systemy wejœcia-wyjœcia komputerów (L) [9],09 65,2019-06-14,11:40,2019-06-14,13:15,Fa³sz,2019-06-14,11:40
Systemy wejœcia-wyjœcia komputerów (L) [10],09 65,2019-06-14,13:30,2019-06-14,15:05,Fa³sz,2019-06-14,13:30
Bezpieczeñstwo pracy i ergonomia. (L) [3],011 65,2019-06-14,15:45,2019-06-14,17:20,Fa³sz,2019-06-14,15:45
Bezpieczeñstwo pracy i ergonomia. (L) [4],011 65,2019-06-14,17:35,2019-06-14,19:10,Fa³sz,2019-06-14,17:35
Programowanie wspolbie¿ne (p) [5],228 S,2019-06-17,09:50,2019-06-17,11:25,Fa³sz,2019-06-17,09:50
Programowanie wspolbie¿ne (p) [6],228 S,2019-06-17,11:40,2019-06-17,13:15,Fa³sz,2019-06-17,11:40
Jêzyk angielski (æ) [15],125 K  120 K  121 K  124 K  126 K  133 K  134 K,2019-06-17,13:30,2019-06-17,15:05,Fa³sz,2019-06-17,13:30
Podstawy zarz¹dzania (w) [7],314 S,2019-06-19,11:40,2019-06-19,13:15,Fa³sz,2019-06-19,11:40
Systemy wbudowane (E) [1],313 S,2019-06-24,09:50,2019-06-24,11:25,Fa³sz,2019-06-24,09:50
Jêzyki i techniki programowania (Zal) [1],314 S  313 S  316 S  317 S,2019-06-24,15:45,2019-06-24,17:20,Fa³sz,2019-06-24,15:45
Jêzyki i techniki programowania (Zal) [2],314 S  313 S  316 S  317 S,2019-06-24,17:35,2019-06-24,19:10,Fa³sz,2019-06-24,17:35
Jêzyki i techniki programowania (Zal) [3],314 S  313 S  316 S  317 S,2019-06-24,19:25,2019-06-24,21:00,Fa³sz,2019-06-24,19:25
In¿ynieria oprogramowania (E) [1],316 S,2019-06-28,11:40,2019-06-28,13:15,Fa³sz,2019-06-28,11:40
Sieci komputerowe (E) [1],120 65  121 65,2019-07-03,11:40,2019-07-03,13:15,Fa³sz,2019-07-03,11:40
